id,name,year,rank
73,"'burbs, The",1989,5.9
74,"'C' Word, The",1993,NULL
76,"'Cat and Mouse' at the Home",1983,NULL
77,"'Catch Me If You Can': Behind the Camera",2003,NULL
78,'Columbia',1899,NULL
79,"'Columbia' and 'Defender' Rounding Stake-Boat",1899,NULL
80,"'Columbia' and 'Shamrock II' Finishing Second Race",1901,NULL
81,"'Columbia' and 'Shamrock II': Jockeying and Starting",1901,NULL
82,"'Columbia' and 'Shamrock II': Start of Second Race",1901,NULL
83,"'Columbia' and 'Shamrock II': Starting in the Third Race",1901,NULL
84,"'Columbia' and 'Shamrock II': Turning the Outer Stake Boat",1901,NULL
85,"'Columbia' Close to the Wind",1899,NULL
86,"'Columbia' vs. 'Defender'",1899,NULL
87,"'Columbia' Winning the Cup",1899,3.6
88,"'Columbia' Winning the Cup (1901/I)",1901,NULL
89,"'Columbia' Winning the Cup (1901/II)",1901,NULL
90,"'Corsair', The",1899,NULL
91,"'Courageous', O",1932,NULL
93,'Courier',1900,NULL
94,"'Crocodile' Dundee II",1988,4.9
95,"'Cross the Mexican Line",1914,NULL
96,"'Den vide verden's billedbog nr. 1",1938,NULL
97,"'Deutschland' Leaving New York at Full Speed (with Prince Henry of Prussia)",1902,NULL
98,"'Diamond S' Ranch, The",1912,NULL
99,"'Dikke Bertha' op doortocht in Brussel",1919,NULL
100,'E',1981,7.9
101,"'El Chicko' - der Verdacht",1995,4.1
102,"'Elf' Jukebox",2004,NULL
103,"'Erin', The",1899,NULL
104,'Etruria',1899,NULL
105,"'Fighting' Dan McCool",1912,NULL
106,"'Foxy Grandpa' Shows Boys He Is a Magician",1902,NULL
107,"'Fraid Cat",1914,NULL
108,"'G' Men",1935,7.2
109,"'Gator and the Pickaninny, The",1900,NULL
112,"'Giant' Stars Are Off to Texas",1955,NULL
113,"'Glavdynya' na otdykhe",1927,NULL
114,"'Glen Island,' Accompanying Parade, The",1898,NULL
115,"'Golden Prison': The Louvre, 'A'",1964,NULL
116,"'Graf Waldersee'",1899,NULL
117,"'Halloween 4' Final Cut",2001,NULL
118,"'Halloween' Unmasked 2000",1999,NULL
119,"'Havana', The",1899,NULL
120,"'Hellboy': The Seeds of Creation",2004,NULL
121,"'High Sign', The",1921,7.7
123,"'Hol zsarnoksg van' (Egy br visszaemlkezsei)",1989,NULL
124,"'Hyp-Nut-Tist', The",1935,6.1
126,"'I' of the Beholder, The",1952,NULL
127,"'If Only' Jim",1920,3.5
128,"'Imp'probable Mr. Wee Gee, The",1966,NULL
129,"'Imperial Limited.' Canadian Pacific R.R.",1899,NULL
130,"'Imhar', une lgende",1997,6.9
131,"'In Side Out'",1965,NULL
132,"'Ins and Outs' of the Diaphragm, The",1976,NULL
133,"'It's Alive!'",1969,NULL
134,'Itch,1989,NULL
135,"'Jarabe' Dance, Streets of Mexico, Pan-American Exposition",1901,NULL
136,"'Java Madness' formerly titled 'Coffee Madness'",1995,6.6
137,"'Je vous salue, Marie'",1985,6.4
138,"'Jennie Deans', The",1898,NULL
139,"'J to tedy beru, sfe...!'",1977,5.2
140,"'k vergeet u nooit, venti",1957,NULL
141,'Kaash',1987,5.7
142,"'King' and 'Queen,' the Great High Diving Horses",1899,NULL
143,"'Kronprinz Wilhelm' with Prince Henry (of Prussia)",1902,NULL
144,'Kultura',1985,NULL
145,"'Ks-Bels' letmdjas: Romvri Jzsef",1995,NULL
146,"'L'Oiseau Bleu'. Sneltrein tussen Antwerpen en Parijs",1922,NULL
147,"'Leapfrog' on the Beach",1898,NULL
148,"'Loco' Motive",1927,NULL
149,"'Lorenzo', The (1898/I)",1898,NULL
150,"'Lorenzo', The (1898/II)",1898,NULL
151,"'M' comme Mathieu",1973,NULL
152,"'M' Word",1996,NULL
153,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,7.9
154,"'Make-Up' Thief, The",1899,NULL
155,"'Man Who Couldn't Feel' and Other Tales",1996,NULL
156,"'Manos' the Hands of Fate",1966,1.6
158,"'Master Harold'... and the Boys",1985,NULL
159,"'Meng' jiu jia zhi ye",1992,NULL
160,"'Merci la vie'",1991,7.2
161,"'Metal Gear Solid 2: Sons of Liberty' - Making of the Hollywood Game",2002,NULL
162,"'Meteor III' Afloat",1902,NULL
163,"'Meteor', The",1902,NULL
164,"'Mid Kentucky Hills",1913,NULL
165,"'Midnight Cowboy' Revisited",1994,NULL
166,"'Midst Woodland Shadows",1914,NULL
167,"'Minagoroshi no uta' yori kenj-yo saraba!",1960,NULL
168,"'Ming wang xing' xing dong",1992,NULL
169,"'Mini' ta, La",1968,NULL
170,"'Model' Wife, A",1915,NULL
171,"'Moonlight Mile': A Journey to Screen",2003,NULL
172,"'Moving' Picture, A",1899,NULL
173,"'n donderend gepiep",1963,NULL
174,"'N herinnering wijlen Z.M. Willem III een rijtoer makende door het Vondelpark te Amsterdam, 'N (1899",1899,NULL
175,"'n stukje humor",2002,NULL
176,"'N Sync & Britney Spears: Your #1 Video Requests... And More!",2000,NULL
177,"'N Sync In Concert",1998,NULL
178,"'N Sync: 'Ntimate Holiday Special",2000,NULL
179,"'N Sync: Live From Madison Square Garden",2000,NULL
180,"'N Sync: Making the Tour",2000,NULL
181,"'N Sync: No Strings Attached",1999,NULL
182,"'N Sync: PopOdyssey Live",2002,NULL
183,"'N Sync: The Atlantis Concert",2001,NULL
184,"'Ne gnstige Gelegenheit",1999,4.6
185,"'Neath Austral Skies",1913,NULL
186,"'Neath Brooklyn Bridge",1942,5.4
187,"'Neath Canadian Skies",1946,4
188,"'Neath the Arizona Skies",1934,4.9
189,"'Neath the Bababa Tree",1931,NULL
190,"'Neath Western Skies",1929,NULL
191,"'Nendo no omen' yori: kaachan",1961,NULL
192,'Nfama!,1924,NULL
193,"'Niagara', The",1899,NULL
195,"'Night, Mother",1986,6.7
196,"'Non', ou A V Glria de Mandar",1990,6.8
197,"'O Marenariello",1927,NULL
198,"'O re",1989,4
199,"'O' de amor",1995,NULL
200,"'O' nu",1978,NULL
201,"'On the Inside: Catching Bank Robbers'",2000,NULL
202,"'Ostler Joe",1908,NULL
204,"'Panaderos', Los",1992,NULL
205,"'Panther', The",1898,NULL
206,'Partizanka',1974,NULL
207,"'Partizanka' - U korak s modom",1975,NULL
208,"'Pennsylvania', The",1899,NULL
209,"'Pimpernel' Smith",1941,7
210,"'Please Kill Me, I'm a Faggot Nigger Jew'",1996,NULL
211,"'Pogoda domu niechaj bedzie z Toba...'",1979,NULL
214,"'Rameau's Nephew' by Diderot (Thanx to Dennis Young)",1974,NULL
215,"'Real Indian'",1996,NULL
217,"'Revenue' and the Girl, The",1911,NULL
218,"'Richard Peck', The",1899,NULL
219,"'Romeo Must Die' Movie Special",2000,NULL
220,"'Rope' Unleashed",2001,NULL
221,"'Roslin Castle' (Troopship)",1899,NULL
222,"'round and 'round",1978,NULL
223,"'Round Midnight",1986,7.3
224,"'Round the World in 80 Days",1914,NULL
225,"'S Wonderful, 'S Marvelous, 'S Gershwin",1972,NULL
226,"'Sagamore', The",1899,NULL
227,"'Sagasta', Admiral Dewey's Pet Pig",1899,NULL
228,"'Sagres' em Goa, Bombaim, Djibuti, Suez e Cairo",1980,NULL
229,"'Sagres' em Marselha e Regresso a Lisboa",1980,NULL
230,"'Salem's Lot",2004,NULL
231,"'Sampson' Champion High Stepper",1899,NULL
232,'Shamrock',1899,NULL
233,"'Shamrock' After Carrying Away Topsail",1899,NULL
234,"'Shamrock' and 'Columbia'",1899,NULL
235,"'Shamrock' and 'Columbia' Jockeying for a Start",1899,NULL
236,"'Shamrock' and 'Columbia' Rounding the Outer Stake Boat",1899,NULL
237,"'Shamrock' and 'Columbia' Rounding the Outer Stake Boat, No. 2",1899,NULL
238,"'Shamrock' and 'Columbia' Yacht Race: 1st Race, No. 2",1899,NULL
239,"'Shamrock' and 'Columbia' Yacht Race: First Race",1899,NULL
240,"'Shamrock' and 'Erin' Sailing",1899,NULL
241,"'Simple Life' Cure, The",1914,NULL
242,'Sipad',1979,NULL
243,'Slask',1956,NULL
244,"'Sloboda' - Kula",1971,NULL
245,"'Space: 1999' Documentary, The",1996,NULL
246,"'St. Paul' Outward Bound, The",1900,NULL
247,"'Standard' Picture Animated, A",1897,NULL
248,"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,NULL
249,"'Sunset Blvd.': A Look Back",2002,NULL
250,"'Swim, Swim...'",1996,NULL
251,"'t bolleken",1988,NULL
252,"'t is maar een woord",1962,NULL
253,"'t Is wreed in de wereld",1954,NULL
254,"'t Was een April",1935,NULL
255,"'Tags': A Short Film",1995,NULL
256,"'Taint Legal",1940,NULL
257,"'Teddy' Bears, The",1907,2
258,'Tempo',1980,NULL
259,"'Texas,' Naval Parade, The",1898,NULL
260,"'Til Death Do Us Part",1960,NULL
261,"'Til Death Do Us Part (1998/I)",1998,NULL
262,"'Til Death Do Us Part",2002,NULL
263,"'Til There Was You",1997,4.8
264,"'Til We Meet Again",1940,6.3
265,"'Till Human Voices Wake Us and We Drown",1996,NULL
266,"'Till the Garden Grows",1996,NULL
267,"'Tis a Long Lane That Has No Turning",1925,NULL
268,"'Tis Mother!",1912,NULL
270,"'Tis Spring",1933,NULL
271,"'Tis the Ball",1934,NULL
272,"'Tis the Bull",1923,NULL
273,"'Tis the Season to Be Smurfy",1984,NULL
274,"'Tis Tough to Be Tender",1918,NULL
275,"'Tong tatlong tatay kong pakitong-kitong",1998,NULL
276,"'Twas Ever Thus",1915,NULL
277,"'Twas Ever Thus",1916,NULL
278,"'Twas Henry's Fault",1919,NULL
279,"'Twas the Night",2001,NULL
280,"'Twas the Night",2002,NULL
281,"'Twas the Night Before Christmas",1914,NULL
282,"'Twas the Night Before Christmas",1974,NULL
283,"'Tween Two Loves",1911,NULL
284,"'Twixt Red Man and White",1910,NULL
285,"'Uncle Tom's Cabin' Troupe, An",1913,NULL
286,"'Unis - Pretis' - put do fabrike",1983,NULL
287,"'V' enfrenta a la Blitzkrieg, La",1941,NULL
288,"'Vizcaya' Under Full Headway",1898,NULL
289,"'Way Down South",1898,NULL
290,"'Weary Willie' and the Gardener",1901,NULL
291,"'Weird Al' Yankovic Live!",1999,NULL
292,"'Weird Al' Yankovic Video Library: His Greatest Hits, The",1992,NULL
293,"'Weird Al' Yankovic: (There's No)",1996,NULL
294,"'Weird Al' Yankovic: The Ultimate Video Collection",2003,NULL
295,"'Weird Al' Yankovic: The Videos",1996,NULL
296,"'Wenn die Hhne krh'n...'",1990,NULL
297,"'What's Your 'I.Q.'?' Number Two",1940,5.9
298,"'When It Rains'",2000,NULL
299,"'Where Did You Go?' 'Out.' 'What Did You Do?' 'Nothing.'",1960,NULL
300,"'Wiltons' - The Handsomest Hall in Town",1970,NULL
301,"'Zemlja' - Grupa slikara",1973,NULL
302,"'Zmeiny istochnik",1997,NULL
303,(),2003,NULL
304,(A),1968,NULL
305,(A),2002,NULL
306,(ab),1995,NULL
307,(Blooper),1991,NULL
308,"(Brief Inquiry Into)",2000,NULL
309,(Calcutta),1993,NULL
310,"(Entre nous)",2002,NULL
311,(G),1998,NULL
312,(H),2001,NULL
313,(Haru),1996,NULL
314,(In),1991,NULL
315,(Now),1976,NULL
316,"(Ohne Titel)",2003,NULL
317,"(Paris: XY)",2001,NULL
318,"(Past Present Future)",2004,NULL
319,(Po),1998,NULL
320,(R),2003,NULL
321,"(Stories from)",1995,NULL
322,(T),2004,NULL
323,(Un),2003,NULL
324,(Winter),2001,NULL
325,(),1999,NULL
326,"* FDR",1982,NULL
327,*69,1998,NULL
328,"*batteries not included",1987,5.7
329,"*Corpus Callosum",2002,4.9
330,"+1 -1",1987,9.6
331,-30-,1959,6
332,"-But the Flesh Is Weak",1932,6.3
334,"...4 ...3 ...2 ...1 ...morte",1967,3.8
335,"...a pozdravuji vlastovky",1972,NULL
336,"...a pty jezdec je Strach",1964,6.1
337,"...a tutte le auto della polizia",1975,6.8
338,"...A Valparaso",1962,7.4
339,"...A vy lyubili kogda nibud?",1973,NULL
340,"...A ya uezzhayu domoy",1968,4.3
341,"...a zase ta Lucie!",1984,6.3
342,"...aber Jonny!",1973,NULL
343,"...aka Southern Exposure",1999,NULL
344,"...All the Marbles",1981,5.5
345,...Almost,1990,5.2
346,"...als Diesel geboren",1979,NULL
347,"...An Incredible Simulation",2000,NULL
348,"...And Call Me In the Morning",1999,NULL
349,"...And Justice for All",1979,6.9
350,"...And Millions Die!",1973,4
351,"...and Quiet Flows the Don",2004,NULL
352,"...And the Earth Did Not Swallow Him",1995,5.8
353,"...And Then She Was Gone",1991,NULL
354,"...and They Lived Happily Ever After",1975,NULL
355,"...Angola No Est  Venda",1963,NULL
356,"...ani smrt nebere",1996,NULL
357,"...At First Sight",2000,NULL
358,"...Au champ d'honneur",1998,NULL
359,"...Aur Pyaar Ho Gaya",1997,5.5
360,"...Az vozdam",1993,NULL
361,"...Because She Disobeyed",1935,6
362,"...Belpaese, Il",1977,5.5
363,"...beschloss ich Politiker zu werden",1985,NULL
364,"...bis Montagmorgen",1991,NULL
365,"...borgnes sont rois, Les",1974,8
366,"...boroume kai kato ap' ta thrania!",1983,NULL
367,"...But I Was a Girl: The Story of Frieda Belinfante",1999,NULL
368,"...but the clouds...",1977,NULL
369,"...Comme elle respire",1998,5.9
370,"...continuavano a chiamarlo Trinit",1972,6.7
371,"...dann hau ich eben ab",1995,NULL
372,"...Dat geit los!",1999,NULL
373,"...denn alle Schuld rcht sich auf Erden",1913,NULL
374,"...des contes d'Hoffmann",1993,NULL
375,"...die begrndete Sorge der Indianer um ihre Frauen und Kinder whrend der Schlacht",2003,NULL
376,"...die man liebt...",1998,NULL
377,"...dopo di che, uccide il maschio e lo divora",1971,NULL
378,"...Duren' ty, duren'!",1931,NULL
379,"...E a Vaca Foi Para o Brejo",1981,NULL
380,"...e alla fine lo chiamarono Jerusalem l'implacabile",1972,NULL
381,"...e continuavano a mettere lo diavolo ne lo inferno",1973,NULL
382,"...e cos divennero i tre supermen del West",1973,NULL
383,"...E di Saul e dei sicari sulle vie di Damasco",1973,NULL
384,"...E i cannoni tuonano ancora",1974,NULL
385,"...E il terzo giorno arriv il corvo",1973,NULL
386,"...e la donna cre l'uomo",1964,NULL
387,"...e la vita continua",1984,NULL
388,"...e lo chiamarono Spirito Santo",1971,NULL
389,"...E non dirsi addio!",1948,NULL
390,"...e per tetto un cielo di stelle",1968,3.5
391,"...E se per caso una mattina",1972,NULL
392,"...E si salv solo l'aretino Pietro con una mano avanti e l'altra dietro",1972,NULL
393,"...e tanta paura",1976,5.4
394,"...e venne il tempo di uccidere",1968,NULL
396,"...en fin, el mar",2005,NULL
397,"...erst wenn",1987,NULL
398,"...erwachsen sein dagegen sehr",1956,NULL
399,"...et mourir de dsir",1974,NULL
400,"...First Do No Harm",1997,NULL
401,"...fr vnskaps skull...",1965,NULL
402,"...heute abend bei mir",1934,NULL
403,"...hogy szaladnak a fk!",1967,NULL
404,"...I drugie offitsialnye litsa",1976,NULL
405,"...I vsya lyubov'",1989,NULL
406,"...ich bin keiner von uns",1999,NULL
407,"...Influenced by None",2003,NULL
408,...ing,2003,7.3
409,"...Is It the Design on the Wrapper?",1997,2.4
410,"...Ispolnit vsyakuyu pravdu",1987,NULL
411,"...It Is Nice to Be Privileged",1976,NULL
412,"...ja Helena soittaa",1952,NULL
413,"...Ja teeb trikke",1978,7.8
414,"...kai dio avga Tourkias",1987,NULL
415,"...kone na betne",1995,NULL
416,...lipotaktis,1988,NULL
417,...Lost,2000,6
418,"...Maybe This Time",1980,5.7
419,"...mit besten Empfehlungen",1979,NULL
420,"...na vojne jako kdyz najdes",1967,NULL
421,"...nebo bt zabit",1985,NULL
422,"...nur ein Komdiant",1935,NULL
423,"...nur noch die Hlfte wert",1978,NULL
424,"...nchste Woche ist Frieden",1995,NULL
425,"...och alla dessa kvinnor",1944,NULL
426,"...och efter skymning kommer mrker",1947,NULL
427,"...och halva kungariket",1998,NULL
428,"...Or Forever Hold Your Peace",2000,6.9
429,"...Pervaya lyubov",1995,NULL
430,"...Po prozvishchu 'Zver'",1990,4.4
431,"...Quando Troveja",1999,4.7
437,"...reitet fr Deutschland",1941,3.6
438,"...Remote... Remote...",1973,NULL
439,"...schwierig, sich zu verloben",1983,NULL
440,"...Se non avessi l'amore",1991,NULL
441,"...Sinon j'touffe",2004,NULL
442,"...so groe Augen",1994,NULL
443,"...sol y lluvia",2001,NULL
444,"...som en tjuv om natten",1940,NULL
445,"...som havets nakna vind",1968,5.1
446,"...Sometimes in April",2004,NULL
447,"...sonst erblindet die Seele",1994,NULL
448,"...Sub clar de luna",2002,NULL
449,"...The Making of...",2003,NULL
450,...tick...tick...tick...,1970,5.9
451,"...To Be with Me",1999,NULL
452,"...To Skin a Cat",2004,NULL
453,"...und abends in die Scala",1958,5.3
454,"...und andere Ergsse!",1991,NULL
455,"...und das ist erst der Anfang",2000,5.9
456,"...und Deine Liebe auch",1962,NULL
457,"...und die Bibel hat doch recht",1977,NULL
458,"...und die Liebe lacht dazu",1957,NULL
459,"...und die Musik spielt dazu",1943,NULL
460,"...und Du bist die",1992,NULL
461,"...und du, mein Schatz, bleibst hier",1961,NULL
462,"...und es leuchtet die Puta",1932,NULL
463,"...und es lockt ein Ruf aus sndiger Welt",1925,NULL
464,"...und ewig bleibt die Liebe",1954,NULL
465,"...und ewig knallen die Ruber",1962,NULL
466,"...und fhre uns nicht in Versuchung",1917,NULL
467,"...und fhre uns nicht in Versuchung",1957,3.2
468,"...und heute ins Theater - Ich, Erste Person Einzahl",1965,NULL
469,"...und htte der Liebe nicht",1927,NULL
470,"...und ich dachte, du magst mich",1986,NULL
471,"...und keiner schmte sich",1960,NULL
472,"...und nichts als die Wahrheit",1958,NULL
473,"...und noch nicht sechzehn",1968,NULL
474,"...und oben wohnen die Engel",1998,NULL
475,"...und pltzlich wird es dunkel in meinem Leben",2001,NULL
476,"...und sowas mu um 8 ins Bett",1965,3.8
477,"...und sowas nennt sich Show",1971,NULL
478,"...und wer kt mich?",1933,NULL
479,"...und wer kt mich?",1956,NULL
480,"...und ber uns der Himmel",1947,5.3
481,"...uns're Helga...",1995,NULL
482,"...verdammt, ich bin erwachsen",1974,NULL
483,"...Verzeihung, ich lebe",2000,NULL
484,"...viele Grsse, Rank",2002,NULL
485,"...weil die Musik die Seele fllt",2001,NULL
486,"...wie einst Lili Marleen",1956,7.9
487,"...Y al tercer ao, resucit",1981,4.6
488,"...Y del hijo",2004,NULL
489,"...Y el cielo fue tomado por asalto",1973,NULL
490,"...Y el demonio cre a los hombres",1959,NULL
491,"...Y eligi el infierno",1957,NULL
492,"...Y la mujer hizo al hombre",1974,NULL
493,"...Y la noche se hizo arcoiris",1978,NULL
494,"...Y los sueos pasan",1939,NULL
495,"...Y maana sern hombres",1939,NULL
496,"...Y maana sern mujeres",1955,NULL
497,"...Y pasa la comparsa",1937,NULL
498,"...y tenemos sabor",1967,NULL
499,"...ya no puede caminar.",2001,7.3
500,"...Yi Salieri",1999,NULL
501,"...zu Stein.",1992,NULL
502,"...s otthon?",1965,NULL
503,"... la campagne",1995,6.9
504,"...s jtra mosolyognak",1954,NULL
506,".38 Ambush Alley",1987,NULL
507,.45,2004,NULL
508,.airE,2001,NULL
509,".com for Murder",2002,3.6
510,".hack//Akusei heni vol. 2",2002,NULL
511,".hack//Liminality Vol. 1: In the Case of Mai Minase",2003,NULL
512,".hack//Liminality Vol. 2: In the Case of Yuki Aihara",2003,NULL
513,".hack//Liminality Vol. 3: In the Case of Kyoko Tohno",2003,NULL
514,".hack//Liminality Vol. 4: Trismegistus",2004,NULL
515,".hack//Osen kadukai vol. 1",2002,NULL
516,.hack//Outbreak,2002,NULL
517,.hack//Quarantine,2003,NULL
518,"0 beon agashi",1981,NULL
519,"0 shi",1972,NULL
520,"0 texvertices",2000,NULL
521,"0 Uhr 15, Zimmer 9",1950,NULL
522,"0-18 or A Message from the Sky",1914,NULL
523,"0-600-Amor ya",1998,NULL
524,"00 Schneider - Jagd auf Nihil Baxter",1994,5.6
525,"00/ciak operazione mondo",1966,NULL
526,0016643225059,1994,NULL
527,"002 agenti segretissimi",1964,NULL
528,"002 operazione Luna",1965,NULL
529,"007 1/2 no Carnaval",1966,2.8
530,"007 Racing",2000,NULL
531,"007: Agent Under Fire",2001,NULL
532,008,2003,NULL
533,"008 - Agent wider Willen",2000,NULL
534,"008: Operazione ritmo",1965,NULL
535,"00Sex im Auge des Orkans",1999,NULL
537,01-99,1959,NULL
538,"01.48 AM",1997,NULL
539,"011 Beograd",2003,NULL
540,"01412 pasasingeum",2000,NULL
541,"02:06 - Anatomija bola",2000,NULL
542,"0567 - Appunti per un documentario su Pozzuoli",1987,NULL
543,05h42,2003,NULL
544,06,1994,6.2
545,"06-05 de film",2005,NULL
546,"07 con el 2 delante (Agente: Jaime Bonet)",1966,NULL
548,08/15,1954,5.4
549,"08/15 - In der Heimat",1955,5
550,"08/15 - Zweiter Teil",1955,4.5
551,"091 Polica al habla",1960,5.2
552,"0shiui hotel",1983,NULL
553,1,2004,NULL
554,"1 + 1 = 1.5",1969,NULL
555,"1 + 1 = 3",1979,NULL
556,"1 2 3",2003,NULL
557,"1 2 3 duan mahaphai",1977,NULL
558,"1 Berlin-Harlem",1974,NULL
559,"1 CAG Story, The",1977,NULL
562,"1 Fijo",2003,NULL
563,"1 Giant Leap",2002,6.4
564,"1 heure 30 d'amour",1974,NULL
565,"1 Is for Gun",1998,NULL
566,"1 km  pied",2003,NULL
567,"1 Maj 1949",1949,NULL
568,"1 Maj 1970",1970,NULL
569,"1 Maj 1973",1973,NULL
570,"1 maya",1948,NULL
571,"1 mei ballade",1962,NULL
572,"1 na 1",2002,5.9
576,"1 s a semmi",2004,NULL
577,1+1=1?,1980,NULL
578,"1+2 = Paradise",1989,NULL
579,"1, 2, 3, Coco",1991,NULL
580,"1,000 Dollars a Minute",1935,NULL
584,"1,500,000 of Us",1959,NULL
585,"1,99 - Um Supermercado Que Vende Palavras",2003,4.9
586,1-1,1986,NULL
587,1-100,1978,NULL
588,"1-2-3 Corona",1948,NULL
589,"1-2-3 Go!",1941,2.3
590,"1-2-3 Magic",1990,NULL
591,"1-2-3-4 ou Les Collants noirs",1960,7.3
594,1-900,1996,2
595,1-Ichi,2003,NULL
597,"1. April 2000",1952,6.8
598,"1. de ei",2000,NULL
599,"1. maj 1960",1960,NULL
600,"1. maj 1961 godine u Sarajevu",1961,NULL
601,"1/2 8",1995,NULL
602,"1/2 Acht",1999,NULL
603,"1/2 Mensch",1986,7.4
604,"1/3 qing ren",1992,NULL
605,"1/57: Versuch mit synthetischem Ton (Test)",1957,NULL
606,10,1979,5.7
607,"10 + 2: El gran secreto",2001,NULL
609,"10 Again",2003,NULL
610,"10 Attitudes",2001,1.7
611,"10 Beers in 10 Minutes",1999,NULL
612,"10 Cents a Minute",2001,NULL
613,"10 Days in a Nudist Camp",1952,NULL
614,"10 Days, 10 Years",2003,NULL
615,"10 del Texas, I",1961,3.8
616,"10 dit sulmi",1970,NULL
617,"10 dni neplateni",1972,NULL
618,"10 from Your Show of Shows",1973,8.8
619,"10 Jahre DDR in Filmdokumenten 1949-1959",1959,NULL
620,"10 juin 1944",1961,NULL
621,"10 Magnificent Blondes",2003,NULL
622,"10 Magnificent Killers",1977,2.6
625,"10 meraviglie dell'amore, Le",1969,NULL
626,"10 Miles/Hour",1970,NULL
627,"10 Million Dollar Getaway, The",1991,NULL
628,"10 minuta",2002,8
629,"10 Minute Film School",1998,NULL
630,"10 Minute Run!!!, The",2001,NULL
631,"10 Minuten Berlin",1989,NULL
632,"10 Minuten zwischen Hamburg und Salzburg",2004,NULL
633,"10 More Minutes... Anatomy of a Shootout",1998,NULL
634,"10 on Ten",2004,5.8
635,"10 pecados y un acto de contricin",2001,NULL
636,"10 pesen o Moskve",1997,NULL
637,"10 pesos",2003,NULL
639,"10 Rillington Place",1971,7.1
640,"10 seconden",2001,NULL
641,"10 Seconds",1998,7.3
642,"10 Tage in Calcutta",1984,NULL
643,"10 Tage, ein ganzes Leben",2004,NULL
644,"10 Things I Hate About You",1999,6.7
645,"10 to Midnight",1983,5.4
646,"10 Violent Women",1982,4.1
647,"10 vistas de los lugares ms poticos y concurridos de Orizaba",1905,NULL
648,"10 vjetori i lavdishm",1954,NULL
650,"10 Years of Heartbeat",2002,NULL
651,"10 r der rystede verden",1991,NULL
652,"10 r p bagen - 3 r i skyggen",1990,NULL
653,"10% nadeje",1976,NULL
656,"10,000 Black Men Named George",2002,NULL
657,"10,000 Cigarettes",2004,NULL
658,"10,000 Delusions",1999,NULL
659,"10,000 Dollars",1915,NULL
660,"10,000 Kids and a Cop",1948,NULL
661,"10,000 Maniacs Time Capsule",1990,NULL
662,"10-13 - nur Lgen vielleicht",1992,NULL
